Date,Portfolio Value
2020-01-16,900.0
2020-01-17,900.0
2020-01-21,900.0
2020-01-22,900.0
2020-01-23,900.0
2020-01-24,900.0
2020-01-27,900.0
2020-01-28,900.0
2020-01-29,900.0
2020-01-30,900.0
2020-01-31,900.0
2020-02-03,900.0
2020-02-04,900.0
2020-02-05,900.0
2020-02-06,900.0
2020-02-07,900.0
2020-02-10,900.0
2020-02-11,900.0
2020-02-12,900.0
2020-02-13,900.0
2020-02-14,900.0
2020-02-18,900.0
2020-02-19,900.0
2020-02-20,900.0
2020-02-21,900.0
2020-02-24,900.0
2020-02-25,900.0
2020-02-26,900.0
2020-02-27,900.0
2020-02-28,900.0
2020-03-02,900.0
2020-03-03,900.0
2020-03-04,900.0
2020-03-05,900.0
2020-03-06,900.0
2020-03-09,900.0
2020-03-10,900.0
2020-03-11,900.0
2020-03-12,900.0
2020-03-13,900.0
2020-03-16,900.0
2020-03-17,900.0
2020-03-18,900.0
2020-03-19,900.0
2020-03-20,898.2583145971676
2020-03-23,898.2583145971676
2020-03-24,898.2583145971676
2020-03-25,898.2583145971676
2020-03-26,898.2583145971676
2020-03-27,898.2583145971676
2020-03-30,898.2583145971676
2020-03-31,898.2583145971676
2020-04-01,898.2583145971676
2020-04-02,898.2583145971676
2020-04-03,898.2583145971676
2020-04-06,897.1266765941368
2020-04-07,897.1266765941368
2020-04-08,897.1266765941368
2020-04-09,897.1266765941368
2020-04-13,897.1266765941368
2020-04-14,897.1266765941368
2020-04-15,897.1266765941368
2020-04-16,897.1266765941368
2020-04-17,897.1266765941368
2020-04-20,897.1266765941368
2020-04-21,897.1266765941368
2020-04-22,898.0793629059501
2020-04-23,898.0793629059501
2020-04-24,898.0793629059501
2020-04-27,898.0793629059501
2020-04-28,898.0793629059501
2020-04-29,898.0793629059501
2020-04-30,898.0793629059501
2020-05-01,898.0793629059501
2020-05-04,898.0793629059501
2020-05-05,898.0793629059501
2020-05-06,898.0793629059501
2020-05-07,899.5150286634158
2020-05-08,899.5150286634158
2020-05-11,899.5150286634158
2020-05-12,899.5150286634158
2020-05-13,899.5150286634158
2020-05-14,899.5150286634158
2020-05-15,899.5150286634158
2020-05-18,899.5150286634158
2020-05-19,899.5150286634158
2020-05-20,899.5150286634158
2020-05-21,899.5150286634158
2020-05-22,899.7282898085834
2020-05-26,899.7282898085834
2020-05-27,899.7282898085834
2020-05-28,899.7282898085834
2020-05-29,899.7282898085834
2020-06-01,899.7282898085834
2020-06-02,899.7282898085834
2020-06-03,899.7282898085834
2020-06-04,899.7282898085834
2020-06-05,899.7282898085834
2020-06-08,899.7282898085834
2020-06-09,899.6506266307878
2020-06-10,899.6506266307878
2020-06-11,899.6506266307878
2020-06-12,899.6506266307878
2020-06-15,899.6506266307878
2020-06-16,899.6506266307878
2020-06-17,899.6506266307878
2020-06-18,899.6506266307878
2020-06-19,899.6506266307878
2020-06-22,899.6506266307878
2020-06-23,899.6506266307878
2020-06-24,899.6506266307878
2020-06-25,899.7076719047985
2020-06-26,899.7076719047985
2020-06-29,899.7076719047985
2020-06-30,899.7076719047985
2020-07-01,899.7076719047985
2020-07-02,899.7076719047985
2020-07-06,899.7076719047985
2020-07-07,899.7076719047985
2020-07-08,899.7076719047985
2020-07-09,899.7076719047985
2020-07-10,899.7076719047985
2020-07-13,899.3315121395922
2020-07-14,899.3315121395922
2020-07-15,899.3315121395922
2020-07-16,899.3315121395922
2020-07-17,899.3315121395922
2020-07-20,899.3315121395922
2020-07-21,899.3315121395922
